umur,jenis_kelamin,pekerjaan,provinsi,gaji,is_menikah,is_keturunan,berat,tinggi,sampo,is_merokok,pendidikan,stress,botak_prob
25.0,Perempuan,PNS,Manokwari,6.384.657.009.517.480,1.0,1,5.358.237.251.685.790,16.676.985.015.786.200,Merpati,1.0,SMA,7.0,8.066.056.731.823.810
24.0,Laki-laki,Pegawai swasta,Serang,18.100.469.508.258.400,1.0,0,4.700.327.669.114.190,16.318.202.467.734.700,Deadbuoy,0.0,SMA,5.0,4.223.765.099.785.070
35.0,Laki-laki,Pegawai swasta,Bandung,8.827.766.635.613.650,1.0,0,4.439.559.295.909.890,16.036.483.399.711.300,Pantone,0.0,,10.0,6.150.225.153.945.820
50.0,Laki-laki,PNS,Tanjung Pinang,17.167.729.685.584.500,1.0,0,4.800.951.937.678.130,16.895.774.727.485.400,Pantone,0.0,S1,8.0,6.176.199.855.342.450
28.0,Laki-laki,PNS,Palangkaraya,8.353.226.513.691.080,1.0,0,7.991.451.530.313.410,1.916.440.866.801.730,Deadbuoy,0.0,S1,3.0,4.500.254.144.318.080
49.0,Perempuan,,Gorontalo,5.307.319.545.430.510,1.0,0,476.540.018.832.777,1.702.330.062.704.530,Shoulder & Head,1.0,SMP,10.0,5.716.467.515.090.510
42.0,Laki-laki,Pegawai swasta,Semarang,13.475.833.893.356.000,1.0,1,52.180.700.585.132.300,1.612.655.352.379.770,Shoulder & Head,0.0,S1,4.0,704.594.518.433.446
34.0,Perempuan,Pegawai swasta,Surabaya,9.880.872.229.498.590,1.0,0,46.114.190.585.981.300,16.493.377.288.358.300,Pantone,0.0,S1,6.0,3.380.919.701.219.240
42.0,Laki-laki,PNS,Serang,4.523.667.440.353.670,1.0,1,59.390.167.745.559.800,18.708.276.376.582.700,Merpati,0.0,SD,3.0,7.314.192.468.169.850
34.0,Laki-laki,,Makassar,569.183.561.415.064,1.0,0,7.296.872.409.005.370,16.419.007.249.225.600,Moonsilk,0.0,S1,2.0,3.831.562.842.342.750
40.0,Perempuan,Pegawai swasta,Jakarta,6.822.556.511.371.710,1.0,0,6.793.556.956.802.300,1.757.560.996.244.200,Moonsilk,1.0,SD,10.0,5.223.013.577.984.310
54.0,Laki-laki,Pegawai swasta,Palu,997.028.890.367.666,1.0,0,4.756.918.387.071.870,1.608.625.655.079.010,Shoulder & Head,1.0,S2,3.0,6.507.906.748.512.220
38.0,Laki-laki,Freelance,Tanjung Pinang,766.216.444.314.005,1.0,0,4.633.787.190.595.550,15.793.272.270.470.800,Deadbuoy,1.0,SMA,4.0,36.310.237.856.574.900
40.0,Perempuan,Pegawai swasta,Banda Lampung,6.290.801.288.488.300,1.0,1,4.601.315.087.191.230,15.151.969.054.424.300,Merpati,0.0,SMP,1.0,4.064.730.583.337.000
45.0,Perempuan,PNS,Mamuju,13.229.733.178.668.900,1.0,0,50.700.973.722.155.300,15.040.776.654.472.400,Pantone,0.0,S1,3.0,508.041.891.054.446
25.0,Laki-laki,PNS,Mataram,945.918.606.812.207,1.0,0,,1.723.703.924.699.910,Pantone,0.0,S2,9.0,5.617.302.564.948.540
44.0,Laki-laki,PNS,Jakarta,1.356.260.051.917.670,1.0,1,46.337.362.465.458,14.874.266.835.948.100,Moonsilk,0.0,S1,6.0,8.273.448.505.567.170
44.0,Laki-laki,PNS,Kendari,6.591.225.836.330.830,1.0,0,5.336.692.719.107.380,17.515.811.090.799.600,Shoulder & Head,1.0,SMP,,759.404.335.048.997
43.0,Perempuan,PNS,Banjarmasin,5.764.889.365.205.490,1.0,0,4.771.420.146.610.020,16.325.210.042.524.400,Shoulder & Head,0.0,S1,7.0,5.974.484.484.210.490
40.0,Perempuan,Freelance,Tanjung Pinang,12.899.702.639.859.800,1.0,0,6.484.060.600.814.800,18.234.662.147.358.700,Pantone,1.0,SMP,7.0,3.359.706.385.395.890
56.0,Laki-laki,Pegawai swasta,Pekanbaru,6.811.622.920.739.800,1.0,0,48.786.267.999.963.600,,Merpati,1.0,S2,6.0,7.133.927.298.524.400
43.0,Laki-laki,PNS,Kupang,41.593.541.461.401.900,1.0,,5.596.198.883.572.640,17.345.956.540.703.200,Deadbuoy,1.0,S2,7.0,781.154.949.793.383
36.0,Laki-laki,Pegawai swasta,Jayapura,20.529.524.496.636.800,1.0,1,5.741.173.947.339.830,16.148.198.224.048.000,Pantone,1.0,S1,3.0,770.832.413.021.181
55.0,Laki-laki,Pegawai swasta,Palembang,5.952.405.173.030.180,1.0,0,4.232.687.343.102.400,15.445.918.234.752.500,Merpati,0.0,S1,2.0,5.641.244.975.624.010
26.0,Perempuan,PNS,Palu,7.954.334.689.959.590,1.0,1,60.776.154.346.590.300,16.776.833.280.197.200,Shoulder & Head,1.0,S1,7.0,7.158.325.039.365.340
47.0,Laki-laki,PNS,Yogyakarta,14.821.027.892.396.900,1.0,0,5.396.310.030.406.500,1.581.482.231.126.770,Moonsilk,1.0,S2,10.0,738.199.779.269.104
55.0,Laki-laki,Pegawai swasta,Denpasar,6.711.912.081.060.780,1.0,0,5.215.179.471.615.410,17.621.997.851.407.000,Deadbuoy,0.0,S1,1.0,6.248.659.641.066.750
19.0,Laki-laki,PNS,Banda Lampung,5.756.210.824.078.010,0.0,0,4.693.013.405.473.670,15.119.460.734.361.500,Pantone,1.0,S1,1.0,44.391.290.436.259.200
30.0,Perempuan,Freelance,Pekanbaru,9.907.657.487.301.250,1.0,0,7.317.690.181.970.870,19.077.739.105.763.300,Deadbuoy,1.0,S1,1.0,31.151.726.617.082.800
54.0,Laki-laki,Pegawai swasta,Jambi,816.364.385.400.978,1.0,0,6.345.567.423.558.280,19.037.952.164.774.200,Shoulder & Head,0.0,S1,4.0,4.558.021.430.103.520
39.0,Laki-laki,PNS,Pontianak,7.083.551.365.662.950,1.0,0,5.353.691.706.756.350,1.614.959.414.314.830,Moonsilk,1.0,SMP,8.0,6.461.057.145.819.560
43.0,Perempuan,PNS,Manado,16.629.901.148.527.300,1.0,1,47.103.342.455.800.300,17.659.575.117.164.300,Merpati,1.0,SMP,2.0,7.000.508.651.413.430
47.0,Laki-laki,PNS,Makassar,11.251.318.071.035.200,1.0,0,5.985.438.135.054.010,16.302.490.517.069.900,Shoulder & Head,0.0,S1,4.0,5.721.342.744.643.110
40.0,Laki-laki,Pegawai swasta,Semarang,12.052.140.050.321.900,1.0,1,6.315.549.232.230.730,16.211.519.650.213.700,Deadbuoy,1.0,S1,10.0,767.627.077.099.116
33.0,Laki-laki,,Bengkulu,5.459.195.592.742.190,1.0,0,5.019.956.133.683.200,15.726.254.050.814.000,Merpati,1.0,SMA,4.0,46.595.622.905.233.400
52.0,Laki-laki,PNS,Bengkulu,1.802.542.693.393.740,1.0,0,5.428.844.094.428.950,1.815.435.848.294.710,Moonsilk,0.0,SMA,9.0,8.335.403.333.180.380
37.0,Laki-laki,Pegawai swasta,Bengkulu,12.805.715.821.483.900,1.0,0,4.898.024.608.863.390,16.227.672.565.571.100,Deadbuoy,1.0,SMA,4.0,5.299.751.015.419.160
49.0,Laki-laki,PNS,Manado,5.623.732.117.777.760,1.0,0,4.398.074.578.393.680,18.010.452.197.247.900,Merpati,0.0,SMA,1.0,5.318.787.744.402.180
47.0,Laki-laki,Pegawai swasta,Bengkulu,5.230.531.649.495.020,1.0,0,5.946.600.848.396.570,17.331.315.255.784.400,Moonsilk,0.0,S1,9.0,5.617.409.692.719.280
42.0,Perempuan,PNS,Tanjung Pinang,7.270.300.493.950.610,1.0,0,44.658.692.122.324.400,18.093.046.012.854.100,Pantone,0.0,SMA,1.0,42.694.624.743.250.100
63.0,Laki-laki,Pegawai swasta,Semarang,9.357.449.673.232.160,1.0,0,58.916.717.380.829.800,1.463.904.142.455.740,Shoulder & Head,0.0,S1,8.0,7.059.122.021.181.450
51.0,Laki-laki,Pegawai swasta,Medan,1.434.359.348.339.960,1.0,0,5.809.811.929.439.690,16.885.129.287.317.800,Moonsilk,1.0,S2,5.0,7.666.666.951.342.590
56.0,Laki-laki,Freelance,Tanjungselor,8.032.880.778.174.190,1.0,0,5.807.594.716.877.650,16.296.694.030.949.600,Pantone,0.0,SMA,3.0,48.431.698.936.872.000
34.0,Perempuan,PNS,Ambon,5.252.953.787.367.470,1.0,1,6.896.239.094.983.370,1.859.828.100.154.920,Moonsilk,1.0,SMP,2.0,6.089.552.357.273.040
39.0,Perempuan,Pegawai swasta,Palu,11.161.510.531.839.700,,1,6.919.363.683.906.390,1.725.991.498.776.130,Moonsilk,1.0,SMP,8.0,6.532.102.304.576.170
44.0,Perempuan,PNS,Mamuju,5.328.688.903.997.930,1.0,0,4.402.360.368.760.310,15.772.910.210.756.100,Deadbuoy,0.0,SMA,8.0,5.586.881.284.478.250
35.0,Perempuan,Freelance,Pontianak,11.091.975.121.392.200,1.0,0,47.480.585.536.871.500,15.946.131.503.515.400,Merpati,1.0,S1,1.0,2.115.638.522.528.660
54.0,Laki-laki,Pegawai swasta,Banda Lampung,41.449.087.807.777.200,1.0,1,5.629.823.568.141.540,18.836.921.047.340.100,Pantone,0.0,S1,10.0,916.924.854.898.191
51.0,Perempuan,PNS,Palembang,,1.0,0,4.866.468.672.435.200,16.314.956.989.220.200,Deadbuoy,1.0,S1,6.0,7.117.234.605.122.020
32.0,Perempuan,Freelance,Jayapura,993.715.287.911.667,1.0,0,515.213.466.833.956,15.996.641.142.900.400,Moonsilk,1.0,SMA,4.0,30.092.984.785.864.700
39.0,Perempuan,PNS,Pekanbaru,49.776.249.210.223,1.0,0,53.678.509.283.481.300,17.056.503.212.446,Pantone,1.0,S1,1.0,43.671.179.538.235.900
35.0,Perempuan,Freelance,Palangkaraya,,1.0,1,51.170.651.344.109.200,15.591.471.510.557.500,Merpati,0.0,S1,5.0,41.866.590.328.608.000
37.0,Perempuan,Pegawai swasta,Medan,9.552.723.741.756.630,1.0,0,50.013.737.311.228.700,1.629.396.356.854.990,Pantone,0.0,S1,3.0,1.669.369.978.928.930
35.0,Laki-laki,PNS,Bengkulu,5.551.985.076.696.380,1.0,0,5.692.918.854.091.400,17.044.285.801.301.800,Merpati,0.0,SMA,7.0,5.014.977.678.949.030
30.0,Perempuan,Freelance,Serang,72.117.294.970.151,1.0,0,5.335.139.708.012.850,17.767.007.247.359.000,Deadbuoy,1.0,S2,2.0,22.248.700.843.862.600
38.0,Laki-laki,Pegawai swasta,Bandung,10.072.406.438.462.400,1.0,0,8.824.759.992.085.010,17.555.616.627.755.100,Deadbuoy,0.0,S2,9.0,4.576.187.040.178.110
34.0,Laki-laki,PNS,Banda Lampung,1.534.441.671.208.030,1.0,0,4.496.837.124.875.400,14.949.786.833.503.800,Deadbuoy,1.0,S1,6.0,6.965.593.362.058.420
62.0,Laki-laki,Pegawai swasta,Banda Aceh,442.678.940.258.608,1.0,0,60.167.655.798.147.400,16.664.144.120.467.500,Shoulder & Head,0.0,SMA,3.0,5.902.493.508.923.400
44.0,Perempuan,Freelance,Jambi,2.353.238.413.529.980,1.0,0,5.522.972.693.811.630,15.311.408.210.344.600,Shoulder & Head,1.0,S1,3.0,3.892.433.792.750.310
18.0,Laki-laki,Pegawai swasta,Ambon,8.932.664.817.616.790,0.0,1,5.757.831.556.255.420,17.715.976.854.816.800,Deadbuoy,0.0,S1,9.0,5.669.736.660.950.660
41.0,Perempuan,Freelance,Manokwari,44.524.631.531.951.400,1.0,0,527.857.438.472.388,18.735.412.687.820.600,Pantone,0.0,S1,8.0,2.701.788.696.036.490
35.0,Laki-laki,PNS,Pontianak,8.340.826.649.468.080,1.0,0,5.292.483.076.212.350,16.534.259.516.680.900,Moonsilk,0.0,S1,8.0,5.111.450.915.484.570
36.0,Perempuan,Pegawai swasta,Banda Lampung,6.183.770.527.241.220,1.0,0,55.814.651.909.951.000,18.462.901.693.028.700,Moonsilk,0.0,S1,8.0,3.782.680.747.294.900
30.0,Laki-laki,PNS,Samarinda,6.689.356.382.651.180,1.0,1,5.321.102.971.403.900,16.678.012.613.909.500,Pantone,1.0,S1,7.0,
29.0,Perempuan,PNS,Tanjung Pinang,14.739.867.147.010.600,1.0,0,5.053.475.458.624.140,15.978.752.144.385.100,Pantone,0.0,SMA,8.0,5.009.705.006.800.190
50.0,Laki-laki,PNS,Ambon,5.278.767.601.537.080,1.0,0,5.710.432.550.029.860,18.442.460.268.958.100,Merpati,0.0,SD,3.0,5.605.322.124.312.170
23.0,Laki-laki,Pegawai swasta,Banda Lampung,10.422.218.612.181.400,1.0,1,57.175.159.347.133.800,1.747.920.296.971.180,Deadbuoy,0.0,S1,4.0,5.165.638.291.727.130
49.0,Laki-laki,Pegawai swasta,Surabaya,6.170.297.674.134.010,1.0,1,5.590.394.695.012.220,15.365.274.987.036.000,Pantone,0.0,S1,5.0,6.554.950.867.595.600
33.0,Perempuan,PNS,Palu,8.736.950.830.848.910,1.0,0,56.994.327.934.903.600,16.312.997.052.254.900,Moonsilk,1.0,SMA,1.0,472.558.805.312.983
50.0,Laki-laki,PNS,Mataram,1.030.171.818.907.150,1.0,0,63.600.803.886.239.800,15.492.053.050.192.500,Pantone,0.0,S1,5.0,6.368.502.903.917.220
44.0,Laki-laki,,Mataram,12.355.387.533.646.800,1.0,0,5.908.506.284.438.660,16.214.549.599.840.900,Moonsilk,0.0,S1,2.0,37.300.373.609.310.300
43.0,Laki-laki,PNS,Serang,12.495.788.609.591.700,1.0,0,7.276.233.674.594.710,17.830.240.074.499.100,Pantone,1.0,SMA,10.0,8.903.345.815.190.480
35.0,Perempuan,PNS,Manado,5.307.282.987.197,1.0,1,56.992.291.094.786.900,17.756.150.837.088.600,Merpati,1.0,S1,5.0,7.172.197.472.236.600
22.0,Perempuan,Pegawai swasta,Manado,7.673.774.603.014.940,1.0,0,4.624.307.528.066.440,17.043.776.892.770.500,Merpati,0.0,S1,7.0,38.355.651.262.528.000
37.0,Laki-laki,PNS,Denpasar,10.681.392.210.928.700,1.0,0,476.636.290.756.082,1.593.793.862.869.420,Moonsilk,0.0,SMA,3.0,5.124.548.234.302.380
58.0,Laki-laki,Pegawai swasta,Pangkalpinang,14.729.246.351.282.000,1.0,0,4.335.222.495.018.520,175.608.279.021.903,Moonsilk,1.0,S1,7.0,852.058.159.984.425
51.0,Laki-laki,PNS,Manokwari,6.497.805.297.587.360,1.0,0,55.735.650.075.027,18.209.091.602.313.900,Pantone,0.0,SMA,2.0,6.528.746.979.658.920
44.0,Laki-laki,Freelance,Sofifi,11.199.666.877.756.500,1.0,0,4.761.938.332.686.240,1.758.489.093.549.100,,0.0,S1,6.0,41.414.933.245.204.100
50.0,Perempuan,PNS,Medan,7.955.562.003.230.560,1.0,0,51.386.603.150.303.200,15.571.838.091.610.100,Merpati,1.0,SMP,8.0,6.135.846.942.049.110
18.0,Laki-laki,Pegawai swasta,Serang,17.677.784.969.336.100,0.0,0,45.791.202.668.230.000,16.320.163.474.465.700,Shoulder & Head,0.0,SMA,9.0,41.735.179.659.306.600
26.0,Laki-laki,Pegawai swasta,Kendari,40.198.328.677.920.700,1.0,0,5.942.345.741.297.950,17.406.536.428.275.100,Moonsilk,1.0,S1,4.0,41.486.802.579.921.100
36.0,Perempuan,Pegawai swasta,Pangkalpinang,6.081.970.552.843.370,1.0,0,5.172.299.444.841.410,1.770.805.696.298.160,Deadbuoy,0.0,S1,2.0,21.869.297.405.094.300
33.0,Laki-laki,PNS,Serang,6.995.538.484.507.640,1.0,1,4.472.973.930.689.730,15.431.610.405.387.400,Pantone,0.0,S1,6.0,7.690.246.781.208.240
37.0,Laki-laki,Pegawai swasta,Kupang,3.634.632.663.319.690,1.0,0,5.981.120.376.327.430,1.531.518.818.196.590,Pantone,1.0,SMP,2.0,45.898.358.960.642.300
33.0,Laki-laki,Freelance,Medan,503.380.046.747.968,1.0,0,6.908.443.337.221.210,17.624.694.755.201.500,Moonsilk,0.0,SMP,4.0,2.556.283.951.214.710
40.0,Laki-laki,Pegawai swasta,Semarang,12.094.094.644.852.100,,1,50.348.508.317.967.100,16.756.327.931.622.600,Moonsilk,1.0,S1,6.0,7.799.350.798.128.850
17.0,Laki-laki,PNS,Pangkalpinang,8.443.740.122.433.500,0.0,0,4.547.351.392.389.060,1.559.006.300.940.540,Shoulder & Head,,S2,10.0,5.619.741.416.717.270
37.0,Laki-laki,Pengangguran,Banda Aceh,7.094.839.897.517.790,1.0,0,6.330.714.813.292.060,1.672.286.561.220.890,Pantone,1.0,S2,6.0,8.230.714.838.095.600
52.0,Perempuan,PNS,Jakarta,6.818.362.050.909.950,1.0,0,,1.616.270.194.899.400,Pantone,1.0,SMA,3.0,6.662.259.528.893.930
36.0,Perempuan,PNS,Mataram,8.952.999.650.904.580,1.0,1,48.402.842.371.757.800,17.001.396.101.788.800,Pantone,0.0,S1,4.0,618.743.831.587.606
21.0,Laki-laki,Pengangguran,Jambi,7.225.247.031.560.920,1.0,0,53.542.919.953.897.400,17.147.451.277.910.800,,0.0,S1,5.0,7.989.278.656.949.240
32.0,Perempuan,PNS,Gorontalo,5.860.159.692.492.320,1.0,0,42.419.517.992.117.400,17.080.896.024.122.900,Merpati,0.0,S3,4.0,4.332.423.273.249.970
49.0,Perempuan,,,8.705.630.283.788.310,1.0,0,57.533.462.784.994.300,16.567.884.462.383.700,Pantone,1.0,SMA,1.0,38.617.092.834.515.400
37.0,Laki-laki,Freelance,Palangkaraya,5.564.324.498.510.620,1.0,0,5.201.587.690.806.300,16.371.573.966.669.100,Deadbuoy,0.0,SMA,6.0,3.326.324.122.801.130
23.0,,Pegawai swasta,Samarinda,1.185.964.705.903.760,1.0,1,51.948.584.489.007.400,16.433.696.267.037.400,Pantone,0.0,S1,8.0,7.648.824.160.001.550
41.0,Perempuan,Pegawai swasta,Samarinda,5.372.436.282.831.500,1.0,0,59.836.353.746.070.200,17.700.922.743.800.300,Deadbuoy,1.0,SMA,5.0,5.152.456.671.010.340
49.0,Laki-laki,PNS,Mamuju,7.185.928.058.692.670,1.0,0,5.203.892.101.502.090,14.912.392.962.263.900,Moonsilk,0.0,S1,8.0,6.217.520.423.240.960
36.0,Laki-laki,Pegawai swasta,Bandung,6.802.122.788.207.980,1.0,0,46.772.593.101.550.300,1.423.268.561.999.920,Shoulder & Head,0.0,S1,7.0,4.045.470.690.900.870
40.0,Laki-laki,Pegawai swasta,Pangkalpinang,8.867.420.583.049.720,1.0,1,45.112.873.806.125.300,17.898.352.217.802.400,Deadbuoy,0.0,SMA,8.0,7.344.186.919.382.360
40.0,Laki-laki,Pegawai swasta,Ambon,1.490.370.053.014.910,1.0,0,5.207.969.602.551.460,1.672.431.040.571.190,Merpati,1.0,SMA,6.0,5.128.355.730.436.100
37.0,Laki-laki,Freelance,Jayapura,3.539.458.009.129.100,1.0,0,41.612.522.718.010.000,1.594.562.477.572.300,Pantone,,S2,4.0,24.609.827.719.958.300
53.0,Laki-laki,Pegawai swasta,Banda Aceh,14.960.349.540.984.500,1.0,0,5.671.364.445.323.290,1.687.179.478.496.620,Pantone,0.0,S1,1.0,6.316.338.596.954.880
56.0,Perempuan,Pegawai swasta,Sofifi,8.160.158.876.287.710,1.0,0,4.688.337.868.934.170,16.562.581.550.832.600,Shoulder & Head,1.0,SMA,4.0,5.653.564.828.751.130
40.0,Laki-laki,PNS,Palu,8.116.296.527.849.650,1.0,0,5.841.455.676.385.400,1.597.845.845.463.290,Pantone,1.0,SMA,6.0,5.609.437.124.440.230
33.0,Laki-laki,Pegawai swasta,Denpasar,914.470.659.133.045,1.0,1,5.052.491.858.564.840,1.662.452.379.875.400,Pantone,1.0,S1,4.0,7.119.451.583.484.710
39.0,Laki-laki,PNS,Jayapura,442.691.234.415.332,1.0,1,7.005.648.653.466.900,15.589.121.061.609.900,Deadbuoy,1.0,SD,6.0,8.322.698.658.540.740
31.0,Perempuan,Pegawai swasta,Semarang,30.585.926.323.209.500,1.0,0,44.447.724.463.082.200,16.806.516.655.465.400,Merpati,0.0,S1,6.0,3.720.384.274.188.340
55.0,Laki-laki,PNS,Jakarta,6.151.818.717.733.350,1.0,0,,16.140.118.987.382.200,Merpati,0.0,S2,2.0,6.900.698.987.498.960
42.0,Laki-laki,Pegawai swasta,Ambon,7.352.546.672.019.580,1.0,0,48.693.325.295.008.200,14.665.121.551.871.000,Deadbuoy,0.0,S1,3.0,5.004.733.596.876.570
46.0,Laki-laki,Pegawai swasta,Serang,34.973.813.682.856.200,1.0,0,5.121.548.304.317.670,18.138.563.739.159.700,Moonsilk,1.0,,5.0,6.478.716.733.354.450
38.0,Laki-laki,PNS,Mamuju,74.874.925.836.774.100,1.0,0,5.299.108.875.538.190,1.651.279.064.770.590,Moonsilk,0.0,SMA,1.0,41.877.978.829.817.600
32.0,Laki-laki,PNS,Kendari,9.499.471.401.074.560,1.0,0,4.952.404.368.527.290,15.692.874.250.171.400,Deadbuoy,0.0,S1,2.0,42.604.067.530.932.400
51.0,Laki-laki,Pegawai swasta,Jambi,85.173.133.536.783,1.0,1,6.212.834.957.626.040,1.532.082.724.602.430,Pantone,1.0,SMA,1.0,8.798.522.886.970.140
50.0,Laki-laki,,Pangkalpinang,6.070.670.328.200.420,1.0,0,5.827.062.273.851.920,16.044.118.488.729.900,Pantone,1.0,S1,6.0,6.372.172.370.056.950
40.0,Laki-laki,PNS,Jayapura,5.352.380.535.780.890,1.0,0,5.878.393.172.270.900,1.676.288.480.591.040,Moonsilk,1.0,SMP,10.0,686.089.866.269.194
25.0,Perempuan,Pegawai swasta,Serang,6.431.255.465.054.760,1.0,0,8.455.628.607.119.700,1.758.815.050.681.000,Deadbuoy,0.0,SMA,8.0,3.755.154.516.858.900
17.0,Laki-laki,PNS,Kupang,9.300.775.302.885.880,0.0,0,4.484.201.175.999.280,15.736.639.365.640.700,Shoulder & Head,1.0,S1,4.0,4.262.037.819.052.320
23.0,Laki-laki,PNS,Denpasar,8.771.300.977.175.440,1.0,0,6.257.303.389.791.870,1.823.028.653.800.090,Pantone,0.0,S1,4.0,5.000.955.662.396.960
44.0,Perempuan,Pegawai swasta,Palu,12.937.849.164.131.700,1.0,1,5.854.503.693.822.690,15.834.336.433.118.700,Merpati,1.0,SMA,3.0,7.026.023.575.427.990
36.0,Laki-laki,PNS,Pontianak,9.205.296.520.787.280,1.0,0,5.203.171.687.705.720,15.957.776.998.082.200,Pantone,1.0,S1,8.0,6.366.250.315.147.550
